Id,Name,NumBytes,Type,Min,Max,Multiplier,Units,Description,SupportedModels,Groups
1,Digital Input 1,1,Unsigned,0,1,1,,Logic: 0/1,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB640, FMB641, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC640, FMC650, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM640, FMM650, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
2,Digital Input 2,1,Unsigned,0,1,1,,Logic: 0/1,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB640, FMB641, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC640, FMC650, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM640, FMM650, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
3,Digital Input 3,1,Unsigned,0,1,1,,Logic: 0/1,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB640, FMB641, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC640, FMC650, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM640, FMM650, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
4,Pulse Counter Din1,4,Unsigned,0,4294967295,1,,"Counts pulses, count is reset when records are saved","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
4,Digital Input 4,1,Unsigned,0,1,1,,Logic: 0/1,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
5,Pulse Counter Din2,4,Unsigned,0,4294967295,1,,"Counts pulses, count is reset when records are saved","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
5,Dallas Temperature ID 5,8,Unsigned,0,0,1,,Dallas sensor ID,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
6,Analog Input 2,2,Unsigned,0,65535,0.001,V,Voltage,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
6,Dallas Temperature 5,2,Signed,-550,1150,0,°C,"Degrees ( °C ), -55 - +115,
if 850 – Sensor not ready 
if 2000 – Value read error 
if 3000 – Not connected 
if 4000 – ID failed 
if 5000 – same as 850","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
7,Dallas Temperature ID 6,8,Unsigned,0,0,1,,Dallas sensor ID,"FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
8,Dallas Temperature 6,2,Signed,-550,1150,0,°C,"Degrees ( °C ), -55 - +115, 
if 850 – Sensor not ready 
if 2000 – Value read error 
if 3000 – Not connected 
if 4000 – ID failed 
if 5000 – same as 850","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
8,Authorized iButton,8,Unsigned,0,0,1,,If ID is shown in this I/O that means that attached iButton is in iButton List,"FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMC125, FMC130, FMC150, FMC250, FMM125, FMM130, FMM150, FMM250, FMU125, FMU130",Permanent I/O elements
9,Analog Input 1,2,Unsigned,0,65535,0.001,V,Voltage,"FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, GH5200, MSP500, MTB100, TAT100, TAT140, TAT141, TAT240, TFT100, TMT250, TST100",Permanent I/O elements
9,Analog Input 1,2,Unsigned,0,30000,0,V,"Voltage, V","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
10,SD Status,1,Unsigned,0,1,1,,"0 - not present
1 - present","FM3001, FMB001, FMB002, FMB003, FMB010, FMB020, FMB110, FMB120, FMB122, FMB125, FMB130, FMB140, FMB150, FMB202, FMB204, FMB206, FMB208, FMB209, FMB225, FMB900, FMB910, FMB920, FMB962, FMB964, FMB965, FMC001, FMC003, FMC125, FMC130, FMC150, FMC225, FMC250, FMC800, FMC880, FMC920, FMM001, FMM003, FMM125, FMM130, FMM150, FMM250, FMM800, FMM80A, FMM880, FMM920, FMP100, FMT100, FMU125, FMU126, FMU130, MSP500, MTB100",Permanent I/O elements
10,Analog Input 2,2,Unsigned,0,30000,0,V,"Voltage, V","FMB640, FMB641, FMC640, FMC650, FMM640, FMM650",Permanent I/O elements
